Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-124,Minor,processing alarm,MTS_DISPATCHERS specified without MTS_MAX_SERVERS,"A definition for MTS_DISPATCHERS was specified in the INIT.ORA file, but MTS_MAX_SERVERS was specified as zero.",From Oracle doc: Specify MTS_MAX_SERVERS to be greater than zero.,-- not available --
Parvez,PCS,140-125,Minor,processing alarm,connection refused; invalid presentation,The PRESENTATION in the CONNECT_DATA of the TNS address DESCRIPTION is not correct or is not supported.,From Oracle doc: Correct the PRESENTATION specified in the TNS address.,-- not available --
Parvez,PCS,140-126,Minor,processing alarm,connection refused; invalid duplicity,The DUPLICITY in the CONNECT_DATA of the TNS address DESCRIPTION is not correct or is not supported.,From Oracle doc: Correct the DUPLICITY specified in the TNS address.,-- not available --
Parvez,PCS,140-127,Minor,processing alarm,dispatcher %s does not exist,There is currently no dispatcher running with the specified name.,"From Oracle doc: Retry with a name of the form ""D###"" denoting an existing dispatcher process.",-- not available --
Parvez,PCS,140-128,Warning,indeterminate,this command requires a dispatcher name,Wrong syntax for ALTER SYSTEM SHUTDOWN.,"From Oracle doc: Use correct syntax:

ALTER SYSTEM SHUTDOWN [ IMMEDIATE ] 'dispatcher name'",-- not available --
Parvez,PCS,140-150,Minor,processing alarm,duplicate transaction ID,An attempt was made to start a new transaction with an ID already in use by an existing transaction.,From Oracle doc: Check your application.,-- not available --
Parvez,PCS,140-151,Minor,processing alarm,invalid transaction ID,The specified transaction ID does not correspond to an existing valid transaction.,From Oracle doc: Check your application.,-- not available --
Parvez,PCS,140-152,Minor,processing alarm,current session does not match requested session,The current session is not the same as the session that was passed into a UPIXADO() call.,From Oracle doc: Check your application.,-- not available --
Parvez,PCS,140-153,Minor,processing alarm,internal error in XA library,The XA library could not access thread-specific pointers.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-154,Minor,processing alarm,protocol error in transaction monitor,The transaction monitor returned TMJOIN on an AX_REG call but the transaction was locally suspended.,From Oracle doc: Contact the transaction monitor customer support.,-- not available --
Parvez,PCS,140-155,Minor,processing alarm,cannot perform work outside of global transaction,The application tried to perform some work on an Oracle 7.3 server outside of a global transaction.,From Oracle doc: Check if the application is connected to an Oracle 7.3 server. The Transaction monitor must not return a NULL XID on an AX_REG call when the resource manager is Oracle 7.3.,-- not available --
Parvez,PCS,140-160,Minor,processing alarm,global transaction length %s is greater than maximum (%s),An external global transaction ID with a too large length field was passed in.,From Oracle doc: Report the problem to your external transaction coordinator vendor.,-- not available --
Parvez,PCS,140-161,Minor,processing alarm,transaction branch length %s is illegal (maximum allowed %s),An external transaction branch ID with a length either too large or 0 was passed in.,From Oracle doc: Report the problem to your external transaction coordinator vendor.,-- not available --
Parvez,PCS,140-162,Minor,processing alarm,external dbid length %s is greater than maximum (%s),An external database name with too large a length field was passed in.,From Oracle doc: Report the problem to your external transaction coordinator vendor.,-- not available --
Parvez,PCS,140-163,Minor,processing alarm,internal database name length %s is greater than maximum (%s),An internal database name with a too large length field was passed in.,From Oracle doc: Report the problem to your external transaction coordinator vendor.,-- not available --
Parvez,PCS,140-200,Minor,processing alarm,controlfile could not be created,It was not possible to create the control file.,From Oracle doc: Check that there is sufficient disk space and no conflicts in file names and try to create the control file again.,-- not available --
Parvez,PCS,140-201,Minor,processing alarm,controlfile version %s incompatible with ORACLE version %s,The control file was created by incompatible software.,From Oracle doc: Either restart with a compatible software release or use CREATE CONTROLFILE to create a new control file that is compatible with this release.,-- not available --
Parvez,PCS,140-202,Normal,indeterminate,controlfile: '%s',This message reports the name file involved in other messages.,From Oracle doc: See associated error messages for a description of the problem.,-- not available --
Parvez,PCS,140-203,Minor,processing alarm,using the wrong controlfiles,The mount ID in the control file is not the same as the mount ID in the control file used by the first instance to mount this database. The control files are for the same database but they are not the same files. Most likely one instance is using a backup control file.,From Oracle doc: Check that the correct control files were specified.,-- not available --
Parvez,PCS,140-204,Minor,processing alarm,"error in reading (block %s, # blocks %s) of controlfile",A disk I/O failure was detected on reading the control file.,"From Oracle doc: Check that the disk is online. If it is not, bring it online and shut down and restart Oracle. If it is online, then look for operating system reasons for Oracle's inability to read the disk or control file. See the Oracle8i Administrator's Guide for information on recovering from the loss of a control file. See also your operation system-specific Oracle documentation.",-- not available --
Parvez,PCS,140-205,Minor,processing alarm,"error in identifying controlfile, check alert log for more info",The system could not find a control file of the specified name and size.,"From Oracle doc: One of the following:

Check that the proper control file name is referenced in the CONTROL_FILES initialization parameter in the initialization parameter file and try again. 

When using mirrored control files, that is, more than one control file is referenced in the initialization parameter file, remove the control file name listed in the message from the initialization parameter file and restart the instance. If the message does not recur, remove the problem control file from the initialization parameter file and create another copy of the control file with a new file name in the initialization parameter file.",-- not available --
Parvez,PCS,140-206,Minor,processing alarm,"error in writing (block %s, # blocks %s) of controlfile",A disk I/O failure was detected on writing to the control file.,"From Oracle doc: Check that the disk is online. If it is not, bring it online and shut down and restart Oracle. If it is online, then look for operating system reasons for Oracle's inability to write to the disk or control file. See the Oracle8i Administrator's Guide for information on recovering from the loss of a control file. See also your operation system-specific Oracle documentation.",-- not available --
